Key,en-US,it-IT,zh-CN
RuntimeAlarms,Runtime Alarms,Allarmi a Runtime,
Original translation,Original translation,Traduzione originale,
Edit,Edit,Modifica,
Relative allignment,Relative alignment,Allineamento Relativo,
Horizontal Layout,Horizontal Layout,Horizontal Layout,
Vertical Layout,Vertical Layout,Layout verticale,
Go To Application Point,Go To Application Point,Vai al punto di applicazione,
View,View,Visualizza,
NoFavorites,No favorites tiles were found for the current user,\nUse the "star" icon to pin some tiles,Nessun preferito trovato per l'utente attuale,\nAggiungi dei preferiti usando l'icona a forma di stella sulle tiles,
Button,Button,Bottone,
ControlType,Control Type,Tipo di Controllo,
GenerateUiControls,Generate UI Controls,Generazione di Elementi Grafici,
Image,Image,Immagine,
Label,Label,Etichetta,
Text,Text,Testo,
LeftMargin,Left Margin,Margine Sinistro,
TopMargin,Top Margin,Margine Superiore,
AliasAccess,Data Access via Aliases,Puntamento Tramite Alias,
Generate,Generate,Genera,
GenerateWidgets,Generate Widgets,Genera Oggetti,
NumberOfInstances,Number of Instances,Numero di Istanze,
ZeroEqualsRandom,0: Random coordinates,0: Coordinate casuali,
A001V,A001V - Undervoltage alarm detected,A001V - Sottotensione rilevata,
A001P,A001P - Low pressure alarm detected,A001P - Pressione troppo bassa,
A001T,A001T - High temperature alarm detected,A001T - Temperatura troppo alta,
Alarm1,Alarm 1,Allarme 1,
Alarm5,Alarm 5,Allarme 5,
Alarm2,Alarm 2,Allarme 2,
Alarm3,Alarm 3,Allarme 3,
Alarm4,Alarm 4,Allarme 4,
Alarm6,Alarm 6,Allarme 6,
AlarmType,Alarm Type,Tipo di Allarme,
DeleteAlarm,Delete Alarm,Cancella Allarme,
SourceTag,Source Tag,Tag Sorgente,
AnalogAlarm,Analog Alarm,Allarme Analogico,
DigitalAlarm,Digital Alarm,Allarme Digitale,
AlarmMessage,Alarm Message,Messaggio Allarme,
CreateAlarm,Create Alarm,Crea Allarme,
LocalTimestamp,Local Timestamp,Ora Locale,
MotorSpeed,Motor Speed,Velocità Motore,
NewAlarm,New Alarm,Nuovo Allarme,
ParametersLogging,Parameters Logging,Registrazione Parametri,
ReportFooter,This report has been automatically generated by FTOptix Studio,Questo report è stato generato automaticamente da FTOptix Studio,
ReportCopyright,Copyright ©2023 Rockwell Automation, Inc.,Copyright ©2023 Rockwell Automation, Inc.,
ConveyorSpeed,Conveyor speed,Velocità Nastro,
Zone1,Zone 1 (°F),Zona 1 (°F),
Zone2,Zone 2 (°F),Zona 2 (°F),
Zone3,Zone 3 (°F),Zona 3 (°F),
Zone4,Zone 4 (°F),Zona 4 (°F),
Close,Close,Chiudi,
Export,Export,Esporta,
To,To,A,
ProjectFolder,Project folder,Cartella di progetto,
From,From,Da,
ApplicationFolder,Application folder,Cartella applicazione,
Filename,File name,Nome file,
CSV File Path,CSV File Path,CSV File Path,
Size,Size,Dimensione,
Delete,Delete,Delete,
Update,Update,Update,
Select,Select,Select,
Insert,Insert,Insert,
Left Margin,Left Margin,Margine sinistro,
Top Margin,Top Margin,Margine superiore,
Save,Save,Salva,
RecipeControllerDeleted,Deleted,eliminata,
RecipesEditorNotFound,not found,non trovato,
RecipesEditorNotSet,is not set,non è impostato,
Load,Load,Carica,
RecipeControllerSaved,saved,salvata,
RecipeControllerCreatedAndSaved,Created and saved,creata e salvata,
Apply,Apply,Applica,
RecipeControllerEmptyRecipeName,Recipe name is empty,Il nome della ricetta è vuoto,
RecipeControllerRecipe,Recipe,Ricetta,
RecipeControllerRecipeApplied,Recipe applied,Ricetta applicata,
RecipeControllerRecipeLoaded,Recipe loaded,Ricetta caricata,
RecipesEditorRecipeSchemaNotFound,RecipeSchema variable not found,Variabile RecipeSchema non trovata,
RecipesEditorRecipeSchemaNotSet,RecipeSchema not set,RecipeSchema non impostato,
RecipesEditorRecipeNotFound,Recipe not found,Ricetta non trovata,
RecipesEditorNotARecipe,is not a recipe,non è una ricetta,
RecipesEditorStoreOfSchema,Store of schema,Lo store dello schema,
RecipesEditorStore,Store,Store,
RecipesEditorNotAStore,is not a store,non è uno store,
RecipesEditorEditModelOfSchema,EditModel of schema,EditModel dello schema,
Y Axis,Y Axis,Asse Y,
X Axis,X Axis,Asse X,
Editable,Editable,Editabile,
Not Editable,Not Editable,Non editabile,
Polygon,Polygon,Poligono,
Matrix Viewer,Matrix Viewer,Visualizzatore matrice,
Scale,Scale,Scala,
Coordinates,Coordinates,Coordinate,
Array,Array,Vettore,
Select XY Chart,Select XY Chart,Seleziona grafico XY,
EmptyUserList,No users in list,Nessun utente nell'elenco,
Groups,Groups,Gruppi,
Create,Create,Crea,
Password,Password,Password,密码
Cancel,Cancel,Annulla,
Locale:,Locale:,Impostazioni locali:,
PasswordChangedTooRecently,Password changed too recently,Password cambiata troppo recentemente,
CannotCreateUserWithEmptyUsername,Cannot create user with empty username,Impossibile creare un utente con nome utente vuoto,
UnableToGetUsers,Unable to get users,Impossibile ottenere gli utenti,
UserNotFound,User not found,Utente non trovato,
PasswordAlreadyUsed,Password already used in the past,Password già utilizzata in passato,
PasswordTooShort,Password too short,Password troppo corta,
UnsupportedOperation,Unsupported operation,Operazione non supportata,
ChangesAppliedSuccessfully,Changes applied successfully,Modifiche applicate correttamente,
UsernameAlreadyExists,Username already exists,Nome utente già esistente,
Acknowledge All,Acknowledge All,Riconosci tutti,全部确认
These credentials will be used to login the application.,These credentials will be used to login the application.,Questi dettagli verranno usati per l'accesso,
Ok,Ok,Ok,
Username,Username,Nome utente,
Current password,Current password,Password attuale,
Old password,Old password,Vecchia password,旧密码
LoginChangePasswordFormUnsupportedOperation,Unsupported operation,Operazione non supportata,操作不受支持
New password,New password,Nuova password,新密码
Confirm password,Confirm password,Conferma password,确认密码
Change password,Change password,Cambia password,更改密码
Current User:,Current User:,Utente corrente:,当前用户:
Logout,Logout,Logout,注销
Your password is expired. Please enter a new one,Your password is expired.\nPlease enter a new one.,Password scaduta.\nInserirne una nuova.,密码已过期。\n请输入新密码。
LoginFormLoginSuccessful,Login successful,Login riuscito,登录成功
LoginFormPasswordExpired,Password expired,Password scaduta,密码已过期
LoginFormAuthenticationFailed,Authentication failed,Autenticazione fallita,身份验证失败
LoginChangePasswordFormWrongOldPassword,Wrong old password,Vecchia password errata,旧密码错误
LoginChangePasswordFormPasswordAlreadyUsed,Password already used,Password già utilizzata,密码已使用
LoginChangePasswordFormPasswordChangedTooRecently,Password changed too recently,Password cambiata troppo recentemente,密码最近刚改过
LoginChangePasswordFormPasswordTooShort,Password too short,Password troppo corta,密码过短
LoginChangePasswordFormPasswordsDoNotMatch,Passwords do not match,Le password non coincidono,密码不匹配
LoginChangePasswordFormUserNotFound,User not found,Utente non trovato,未找到用户
This text is in english,This text is in English,Questo testo è in Italiano,
Actual Size,Actual Size,Dimensione Reale,
Bottom,Bottom,Basso,
Center,Center,Centro,
Change the look of every base control in FT Optix.,Change the look of every base control in FT Optix.,Cambia l'aspetto dei controlli UI,
Checkbox,Checkbox,Checkbox,
Component1,Component1,Componente1,
Default,Default,Predefinito,
Example 1,Example 1,Esempio 1,
Example 2,Example 2,Esempio 2,
Example 3,Example 3,Esempio 3,
Fit Height,Fit Height,Adatta ad Altezza,
Fit Page,Fit Page,Adatta a Pagina,
Fit Width,Fit Width,Adatta a Larghezza,
Hello World!,Hello World!,Ciao Mondo!,
Language,Language,Lingua,
ISA101,ISA101,ISA101,
Left,Left,Sinistro,
Locale,Locale,,
M2M,M2M,M2M,
Right,Right,Destro,
Simple button,Simple button,Bottone semplice,
SpaceShip,SpaceShip,Astronave,
Stretch,Stretch,Adattabile,
Style Sheets,Style Sheets,Fogli di Stile,
This is a simple label.,This is a simple Label.,Questa è una Etichetta,
This is a text box!,This is a TextBox!,Questa è una TextBox!,
Thisl label can also be edited. Double click on it!,Thisl label can also be edited. Double click on it!,Questa etichetta può essere editata. Doppio click per interagire,
Top,Top,Superiore,
Variable1,Variable1,Variabile1,
Variable2,Variable2,Variabile2,
Variable3,Variable3,Variabile3,
Variable4,Variable4,Variabile4,
Vertical,Vertical:,Verticale:,
Zoom:,Zoom:,Zoom:,
Margins,Margins :,Margini,
MaterialDark,Material Dark,Material Dark,
MeasurementSystem,Measurement System,Sistema di Misura,
NewPassword,New password,Nuova Password,
Horizontal,Horizontal:,Orizzontale:,
EnterYourCredentials,Enter your credentials,Inserisci le credenziali,
CustomLevel,Custom Level,,
ChangeYourPassword,Change your password,Cambia Password,
ApplicationSecurity,Application Security,Sicurezza Applicazione,
ChangePasswordAfterLogin,Change Password after login,Cambio Password al login,
ChangeStyle,Change the look of every base control in FT Optix.,Cambia l'aspetto dei controlli grafici,
FriendlyDark,Friendly Dark,Friendly Dark,
FriendlyLight,Friendly Light,Friendly Light,
Page,Page:,Pagina:,
RecipeName,Recipe Name:,Nome Ricetta:,
Result,Result:,Risultato:,
ChangePassword,Change password,Cambio Password,
ConfirmAll,Confirm All,Conferma Tutti,
ConfirmPassword,Confirm password,Conferma Password,
UIBaseControls,UI Base Controls,Controlli Base UI,
Outside View,Outside View,,
OutsideView,Outside View,,
Inside view,Inside view,,
InsideView,Inside view,,
Confirm All,Confirm All,Conferma tutti,全部证实
Area Selection,Area Selection,Selezione Area,
Pressure,Pressure,Pressione,压力
Voltage,Voltage,Tensione,电压
Temperature,Temperature,Temperatura,温度
