"Key","en-US","it-IT","zh-CN"
"ScaleLayout","Scale Layout","Scale Layout","缩放布局"
"AlarmsPerArea","Alarms per Area","Allarmi per Area","每区域报警数"
"AlarmsHistory","Alarms History","Storico Allarmi","报警历史"
"AlarmsGrid","Alarms Grid","Griglia Allarmi","报警网格"
"Aliases","Aliases","Aliases","别名"
"CompanionSpecifications","Companion Specifications","Companion Specifications","配套规范"
"MachineToMachine","Machine to Machine","Machine to Machine","机器到机器"
"Recipes","Recipes","Ricette","配方"
"Reports","Reports","Reportistica","报表"
"Subtitle","Subtitle","Sottotitolo","字幕"
"Title","Title","Titolo","标题"
"Translations","Translations","Traduzioni","翻译"
"UI","User Interface","Interfaccia Utente","用户界面"
"UsersLogin","Users Login","Login Utenti","用户登录"
"RuntimeAlarms","Runtime Alarms","Allarmi a Runtime","运行时报警"
"Edit","Edit","Modifica",""
"Vertical Layout","Vertical Layout","Layout verticale","垂直布局"
"View","View","Visualizza",""
"NoFavorites","No favorites tiles were found for the current user\nUse the ""star"" icon to pin some favorites","Nessun preferito trovato per l'utente attuale.\nUsa l'icona della stellina per aggiungere di preferiti",""
"Button","Button","Bottone","按钮"
"ControlType","Control Type","Tipo di Controllo","控制类型"
"GenerateUiControls","Generate UI Controls","Generazione di Elementi Grafici","生成 UI 控件"
"Image","Image","Immagine","图像"
"Label","Label","Etichetta","标签"
"Text","Text","Testo","文本"
"LeftMargin","Left Margin","Margine Sinistro","左边距"
"TopMargin","Top Margin","Margine Superiore","上边距"
"AliasAccess","Data Access via Aliases","Puntamento Tramite Alias","通过别名访问数据"
"Generate","Generate","Genera","生成"
"GenerateWidgets","Generate Widgets","Genera Oggetti","生成小部件"
"NumberOfInstances","Number of Instances","Numero di Istanze","实例数量"
"ZeroEqualsRandom","0: Random coordinates","0: Coordinate casuali","0: 随机坐标"
"A001V","A001V - Undervoltage alarm detected","A001V - Sottotensione rilevata","A001V - 检测到欠电压报警"
"A001P","A001P - Low pressure alarm detected","A001P - Pressione troppo bassa","A001P - 检测到低压报警"
"A001T","A001T - High temperature alarm detected","A001T - Temperatura troppo alta","A001T - 检测到高温报警"
"Alarm1","Alarm 1","Allarme 1","报警 1"
"Alarm5","Alarm 5","Allarme 5","报警 5"
"Alarm2","Alarm 2","Allarme 2","报警 2"
"Alarm3","Alarm 3","Allarme 3","报警 3"
"Alarm4","Alarm 4","Allarme 4","报警 4"
"Alarm6","Alarm 6","Allarme 6","报警 6"
"AlarmType","Alarm Type","Tipo di Allarme","报警类型"
"DeleteAlarm","Delete Alarm","Cancella Allarme","删除报警"
"SourceTag","Source Tag","Tag Sorgente","源标签"
"AnalogAlarm","Analog Alarm","Allarme Analogico","模拟量报警"
"DigitalAlarm","Digital Alarm","Allarme Digitale","数字量报警"
"AlarmMessage","Alarm Message","Messaggio Allarme","报警信息"
"CreateAlarm","Create Alarm","Crea Allarme","创建报警"
"LocalTimestamp","Local Timestamp","Ora Locale","本地时间戳"
"MotorSpeed","Motor Speed","Velocità Motore","电机速度"
"NewAlarm","New Alarm","Nuovo Allarme","新建报警"
"ParametersLogging","Parameters Logging","Registrazione Parametri","参数记录"
"ReportFooter","This report has been automatically generated by FTOptix Studio","Questo report è stato generato automaticamente da FTOptix Studio","此报告已由 FTOptix Studio 自动生成"
"ReportCopyright","Copyright ©2023 Rockwell Automation","Copyright ©2023 Rockwell Automation","Copyright ©2023 Rockwell Automation"
"ConveyorSpeed","Conveyor speed","Velocità Nastro","传送带速度"
"Zone1","Zone 1 (°F)","Zona 1 (°F)","区域 1 （°F）"
"Zone2","Zone 2 (°F)","Zona 2 (°F)","区域 2 （°F）"
"Zone3","Zone 3 (°F)","Zona 3 (°F)","区域 3 （°F）"
"Zone4","Zone 4 (°F)","Zona 4 (°F)","区域 4 （°F）"
"Close","Close","Chiudi","关闭"
"Export","Export","Esporta",""
"To","To","A","至"
"ProjectFolder","Project folder","Cartella di progetto",""
"From","From","Da","自"
"ApplicationFolder","Application folder","Cartella applicazione",""
"Filename","File name","Nome file",""
"CsvFilePath","CSV File Path","CSV File Path",""
"Size","Size","Dimensione",""
"Delete","Delete","Elimina","删除"
"Update","Update","Update",""
"Select","Select","Select",""
"Insert","Insert","Insert",""
"Save","Save","Salva","保存"
"RecipeControllerDeleted","deleted","eliminata","已删除"
"RecipesEditorNotFound","not found","non trovato","未找到"
"RecipesEditorNotSet","is not set","non è impostato","未设置"
"Load","Load","Carica","加载"
"RecipeControllerSaved","saved","salvata","已保存"
"RecipeControllerCreatedAndSaved","created and saved","creata e salvata","已创建并保存"
"Apply","Apply","Applica","应用"
"RecipeControllerEmptyRecipeName","Recipe name is empty","Il nome della ricetta è vuoto","配方名称为空"
"RecipeControllerRecipe","Recipe","Ricetta","配方"
"RecipeControllerRecipeApplied","Recipe applied","Ricetta applicata","已应用配方"
"RecipeControllerRecipeLoaded","Recipe loaded","Ricetta caricata","已加载配方"
"RecipesEditorRecipeSchemaNotFound","RecipeSchema variable not found","Variabile RecipeSchema non trovata","未找到 RecipeSchema 变量"
"RecipesEditorRecipeSchemaNotSet","RecipeSchema not set","RecipeSchema non impostato","未设置 RecipeSchema"
"RecipesEditorRecipeNotFound","Recipe not found","Ricetta non trovata","未找到配方"
"RecipesEditorNotARecipe","is not a recipe","non è una ricetta","不是配方"
"RecipesEditorStoreOfSchema","Store of schema","Lo store dello schema","架构存储"
"RecipesEditorStore","Store","Store","存储"
"RecipesEditorNotAStore","is not a store","non è uno store","不是存储库"
"RecipesEditorEditModelOfSchema","EditModel of schema","EditModel dello schema","架构的 EditModel"
"Editable","Editable","Editabile","可编辑"
"NotEditable","Not Editable","Non editabile","不可编辑"
"Polygon","Polygon","Poligono","多边形"
"MatrixViewer","Matrix Viewer","Visualizzatore matrice","查看器"
"Scale","Scale","Scala","缩放"
"Coordinates","Coordinates","Coordinate","坐标"
"Array","Array","Vettore","数组"
"EmptyUserList","No users in list","Nessun utente nell'elenco","列表中无用户"
"Groups","Groups","Gruppi","组"
"Create","Create","Crea","创建"
"Password","Password","Password","密码"
"Cancel","Cancel","Annulla","取消"
"Locale","Locale","Impostazioni locali","区域设置"
"PasswordChangedTooRecently","Password changed too recently","Password cambiata troppo recentemente","密码最近刚改过"
"CannotCreateUserWithEmptyUsername","Cannot create user with empty username","Impossibile creare un utente con nome utente vuoto","无法创建用户名为空的用户"
"UnableToGetUsers","Unable to get users","Impossibile ottenere gli utenti","无法获取用户"
"UserNotFound","User not found","Utente non trovato","未找到用户"
"PasswordAlreadyUsed","Password already used in the past","Password già utilizzata in passato","此密码在过去用过"
"PasswordTooShort","Password too short","Password troppo corta","密码过短"
"UnsupportedOperation","Unsupported operation","Operazione non supportata","操作不受支持"
"ChangesAppliedSuccessfully","Changes applied successfully","Modifiche applicate correttamente","已成功应用更改"
"UsernameAlreadyExists","Username already exists","Nome utente già esistente","用户名已存在"
"LoginCredentials","These credentials will be used to login the application.","Queste credenziali verranno usate per il login al applicazione","这些凭据将用于登录应用程序。"
"Ok","Ok","Ok","确定"
"Username","Username","Nome Utente","用户名"
"LoginChangePasswordFormUnsupportedOperation","Unsupported operation","Operazione non supportata","操作不受支持"
"CurrentUser","Current User","Utente attuale","当前用户:"
"Logout","Logout","Logout","注销"
"ExpiredPassword","Your password is expired.\nPlease enter a new one.","Password scaduta.\nInserirne una nuova.","密码已过期。\n请输入新密码。"
"LoginFormLoginSuccessful","Login successful","Login riuscito","登录成功"
"LoginFormPasswordExpired","Password expired","Password scaduta","密码已过期"
"LoginFormAuthenticationFailed","Authentication failed","Autenticazione fallita","身份验证失败"
"LoginChangePasswordFormWrongOldPassword","Wrong old password","Vecchia password errata","旧密码错误"
"LoginChangePasswordFormPasswordAlreadyUsed","Password already used","Password già utilizzata","密码已使用"
"LoginChangePasswordFormPasswordChangedTooRecently","Password changed too recently","Password cambiata troppo recentemente","密码最近刚改过"
"LoginChangePasswordFormPasswordTooShort","Password too short","Password troppo corta","密码过短"
"LoginChangePasswordFormPasswordsDoNotMatch","Passwords do not match","Le password non coincidono","密码不匹配"
"LoginChangePasswordFormUserNotFound","User not found","Utente non trovato","未找到用户"
"Bottom","Bottom","Basso",""
"Center","Center","Centro",""
"ChangeAppearence","Change the look of every base control in FT Optix.","Cambia l'aspetto dei controlli UI",""
"Checkbox","Checkbox","Checkbox",""
"Component1","Component 1","Componente 1",""
"Default","Default","Predefinito",""
"Example1","Example 1","Esempio 1",""
"Example2","Example 2","Esempio 2",""
"Example3","Example 3","Esempio 3",""
"FitHeight","Fit Height","Adatta ad Altezza",""
"FitPage","Fit Page","Adatta a Pagina",""
"FitWidth","Fit Width","Adatta a Larghezza",""
"Language","Language","Lingua",""
"ISA101","ISA101","ISA101",""
"Left","Left","Sinistro",""
"M2M","M2M","M2M",""
"Right","Right","Destro",""
"SpaceShip","SpaceShip","Astronave",""
"Stretch","Stretch","Adattabile",""
"Style Sheets","Style Sheets","Fogli di Stile",""
"Top","Top","Superiore",""
"Vertical","Vertical:","Verticale:",""
"Zoom","Zoom","Zoom",""
"Margins","Margins","Margini",""
"MaterialDark","Material Dark","Material Dark",""
"MeasurementSystem","Measurement System","Sistema di Misura",""
"NewPassword","New password","Nuova Password",""
"Horizontal","Horizontal:","Orizzontale:",""
"EnterYourCredentials","Enter your credentials","Inserisci le credenziali",""
"CustomLevel","Custom Level","Livello Attuale",""
"ChangeYourPassword","Change your password","Cambia Password",""
"ApplicationSecurity","Application Security","Sicurezza Applicazione",""
"ChangePasswordAfterLogin","Change Password after login","Cambio Password al login",""
"ChangeStyle","Change the look of every base control in FT Optix.","Cambia l'aspetto dei controlli grafici",""
"FriendlyDark","Friendly Dark","Friendly Dark",""
"FriendlyLight","Friendly Light","Friendly Light",""
"Page","Page:","Pagina:",""
"RecipeName","Recipe Name:","Nome Ricetta",""
"Result","Result:","Risultato:",""
"ChangePassword","Change password","Cambio Password","更改密码"
"ConfirmAll","Confirm All","Conferma Tutti",""
"ConfirmPassword","Confirm password","Conferma Password","确认密码"
"UIBaseControls","UI Base Controls","Controlli Base UI",""
"OutsideView","Outside View","Vista esterna",""
"InsideView","Inside view","Vista interiore",""
"Pressure","Pressure","Pressione","压力"
"Voltage","Voltage","Tensione","电压"
"Temperature","Temperature","Temperatura","温度"
"Low-lowState","Low-low","Basso-basso",""
"LowState","Low","Basso",""
"Alpha","Alpha","Alfa",""
"AverageValue","Average value","Valore medio",""
"CurrentColor","Current color","Colore attuale",""
"CurrentValue","Current value","Valore attuale",""
"DataloggerConfiguration","Datalogger Configuration","Configurazione Datalogger",""
"DigitalAlarmWithAreaType","Digital Alarm with Area","Allarme Digitale con Area",""
"HelloWorld","Hello World!","Ciao Mondo",""
"HistogramProperties","Histogram Properties","Proprietà Istogramma",""
"HoleSizePercent","Hole Size Percent","Percentuale dimensione foro",""
"InputValue","Input Value","Valore di ingresso",""
"MaximumValue","Maximum value","Valore massimo",""
"MinimumValue","Minimum value","Valore minimo",""
"NegativeValue","Negative value","Valore negativo",""
"NewColor","New color","Nuovo colore",""
"NewValue","New value:","Nuovo valore",""
"OriginalTranslation","Original translation","Traduzione originale",""
"Polling","Polling","Aggiornamento",""
"RawMax","Raw Max","Valore minimo ingresso",""
"RawMin","Raw Min","Valore massimo ingresso",""
"RectangleWidthAndHeight","Rectangle Width & Height","Dimensioni Rettangolo",""
"Red","Red","Ross",""
"Sampling","Sampling","Campionamento",""
"SamplingMode","Sampling Mode","Modalità campionamento",""
"ScaleLayoutWidthAndHeight","Scale Layout Width & Height","Dimensioni scale layout",""
"ScaledMax","Scaled Max","Valore massimo uscita",""
"ScaledMin","Scaled Min","Valore minimo uscita",""
"ScalingParameters","Scaling Parameters","Opzioni di ridimensionamento",""
"ShowHideAxis","Show / Hide Axis","Mostra / Nascondi assi",""
"ShowHideValues","Show / Hide Values","Mostra / Nascondi valori",""
"Simulation","Variables Simulation","Simulazione Variabili",""
"SquareRoot","Square root","Radice quadrata",""
"SuggestedWidthAndHeightValues","Suggested sizes","Dimensioni suggerite",""
"VariableToLog","Variable to log","Variabile da campionare",""
"VerticalHorizontal","Vertical / Horizontal","Verticale / Orizzontale",""
"Width","Width","Larghezza",""
"AbsoluteValue","Absolute Value","Valore Assoluto",""
"ActualSize","Actual Size","Dimensione Reale",""
"AlarmLimitState","AlarmLimit State","",""
"AreaSelection","Area Selection","Selezione area",""
"CurrentPassword","Current password","Password attuale","当前密码"
"GoToApplicationPoint","Go To Application Point","Vai al punto di applicazione",""
"High-highState","High-high","Alto-alto",""
"HighState","High","Alto",""
"OldPassword","Old password","Vecchia password","旧密码"
"Page1","Page 1","Pagina 1","第1页"
"Page2","Page 2","Pagina 2","第2页"
"RelativeAlignment","Relative Alignment","Allineamento relativo","相对对齐"
"RockwellAutomation","Rockwell Automation","Rockwell Automation",""
"SelectAll","Select All","Seleziona tutto",""
"SelectXYChart","Select XY Chart","Seleziona grafico XY","选择 XY 图表"
"SimpleButton","Simple button","Bottone semplice",""
"Stylesheet1","Stylesheet 1","Foglio di stile 1",""
"Stylesheet2","Stylesheet 2","Foglio di stile 2",""
"ThisIsASimpleLabel","This is a simple Label.","Questa è una variabile semplice",""
"ThisIsATextBox","This is a TextBox!","Questa è una TextBox!",""
"ThisTextIsInEnglish","This text is in English","Questo testo è in Italiano","此文本为英语"
"ThisLabelCanAlsoBeEdited","Thisl label can also be edited. Double click on it!","Questa etichetta può essere editata. Doppio click per interagire",""
"Variable1","Variable 1","Variabile 1","变量1"
"Variable2","Variable 2","Variabile 2","变量2"
"XAxis","X Axis","Asse X","X 轴"
"YAxis","Y Axis","Asse Y","Y 轴"
"HorizontalLayout","Horizontal Layout","Layout Orizzontale","水平布局"
"Variables","Variables","Variabili",""
"Variable3","Variable 3","Variabile 3",""
"Variable4","Variable 4","Variabile 4",""
"Variable0","Variable 0","Variabile 0",""
"User1","User1","Utente1",""
"User2","User2","Utente2",""
"User3","User3","Utente3",""
"Type","Type","Tipo",""
"True","True","Vero",""
"SuggestedSizes","Suggested Width & Height Values","Dimesioni suggerite",""
"Realtime","Realtime","Tempo reale",""
"RectangleWidthHeight","Rectangle Width & Height","Dimensioni rettangolo",""
"Permissions","Permissions","Permessi",""
"LoginForm","Login Form","Form di Login",""
"LinearGaugeControl","Linear Gauge Control","Liner Gauge",""
"HorizontaLayout","Horizontal Layout","Layout Orizzontale",""
"Historical","Historical","Orizzontale",""
"HexColorValue","HEX Color value","Valore esadecimale",""
"Height","Height","Altezza",""
"Green","Green","Verde",""
"False","False","Falso",""
"dataloggerVariable1","dataloggerVariable1","",""
"dataloggerVariable2","dataloggerVariable2","",""
"dataloggerVariable3","dataloggerVariable3","",""
"Credentials","Credentials","Credenziali",""
"Blue","Blue","Blu",""
"Button1","Button 1","Bottone 1",""
"ClickToChangeColor","Click on an item to change its color","Clicca per cambiarne il colore",""
"Follow","Follow","Segui",""
"Admin","Admin","Amministratore",""
"AdminSwitch","Admin Switch","Switch Amministratore",""
"Engineer","Engineer","Ingegnere",""
"EngineerSwitch","EngineerSwitch","Switch Ingegnere",""
"IntegerPart","Integer part of decimal number","Parte intera del numero",""
"DeadbandMode","Dead-band mode","Modo tolleranza",""
"DeadbandValue","Dead-band value","Tolleranza valore",""
"DefaultDeadbandValue","Default dead-band value","Tolleranza predefinita",""
"EuRange","EU Range\n(0-100)","Range Unità di Misura\n(0-100)",""
"Operator","Operator","Operatore",""
"OperatorSwitch","OperatorSwitch","Switch Operatore",""
"OptionButton","OptionButton","OptionButton",""
"OptionButton1","Option Button 1","",""
"OptionButton2","Option Button 2","",""
"OptionButton3","Option Button 3","",""
"PointSelection","Single Point","Punto Selezionato",""
"TimeWindow","Time Window","Base dei tempi",""
"AdjustDimensions","Adjust the Width and Height of each container","Modifica dimensioni",""
"ApproximatedValueByDefect","Approximated value by defect","Valore approssimato per difetto",""
"ApproximatedValueByExcess","Approximated value by excess","Valore approssimato per eccesso",""
"ApproximationToNearestInteger","Approximation to nearest integer","Valore approssimato all'intero più vicino",""
"ConveyorChassisMalfunctionAlarm","Conveyor Chassis Malfunctioning Alarm","Allarme malfunzionamento nastro",""
"ConveyorChassisMalfunctionAlarmCondition","Conveyor Chassis Malfunctioning Alarm Condition","Condizione allarme malfunzionamento nastro",""
"Where","WHERE","WHERE",""
"ConvertedResult","Converted Result","Risultato conversione",""
"Alarm 2","Alarm 2","Allarme 2",""
"Alarm 1","Alarm 1","Allarme 1",""
"ScaleLayoutWidthHeight","Scale Layout Width & Height","Dimensioni ScaleLayout",""
"ClickPlayToStart","Click Play to start the video","Premi il pulsante Play per avviare la riproduzione",""
"LoginFormExample","Login form example","Esempio di schermata di accesso",""
"PredefinedStyles","Predefined Styles","Stili Predefiniti",""
"ResetPuzzle","Reset Puzzle","Rigenera Puzzle",""
"CongratsMessage","You did it!","Complimenti!",""
"PuzzleTitle","Move the tiles by dragging them on the left rectangle to compose the AB logo. You can single click a tile to rotate it by 90 degrees","Sposta le tile trascinandole nel rettangolo di sinitra per comporre il logo AB. Puoi ruotare le tiles di 90 gradi cliccando su di esse",""
"ManualLog","Trigger Log Event","Registrazione Manuale",""
"PointCoordinates","Coordinates (X;Y)","Coordinate (X;Y)",""
"CallableMethodsTitle","These motors exposes two methods called Start and Stop that can be called via OPC/UA","Questi motori espongono due metodi chiamati Start e Stop che possono essere eseguiti tramite un client OPC/UA",""
"Start","Start","Avvia",""
"Stop","Stop","Arresta",""
"Failed","Failed","Non riuscito","失败"
"Success","Success","Successo","成功"
"Locale:","Locale:","Impostazioni locali:","区域设置:"
"Old password","Old password","Vecchia password","旧密码"
"New password","New password","Nuova password","新密码"
"Confirm password","Confirm password","Conferma password","确认密码"
"Change password","Change password","Cambia password","更改密码"
"Current User:","Current User:","Utente corrente:","当前用户:"
"AbsoluteValueOfTheGivenNumber","Absolute Value of the given number","Valore assoluto di un valore",""
"ActiveRecipeValue","Active recipe value","",""
"AdjustSizeDescription","Adjust the Width and Height of the logo","",""
"AlarmsBanner","Alarms Banner","",""
"All","All","",""
"PascalCase","All first letters uppercase","",""
"Lowercase","All lowercase","",""
"Uppercase","All uppercase","",""
"AlternativePlc","Alternative PLC","",""
"AliasDescription","An alias is a variable type that points to a source node with a NodeId property. Aliases allow you to have instances of an object display different values. For example, using an alias, an instance of a single motor faceplate can show data for multiple motors dynamically.","",""
"AnimationOnBehavior","Animations On Behavior","",""
"Areas","Areas","",""
"AverageDescription","Average value of two o or more values","",""
"Binary","Binary","",""
"BinaryNotation","Binary Notation","",""
"Browse","Browse","",""
"TileDescription","By default, the Alarm grid widget displays all enabled and active alarms. Queries filter alarms at runtime to display only certain alarms.","",""
"ExpressionEvaluatorDescription","Calculate the result of an expression with integers, decimals, numeric variables, string variables for string comparisons, arithmetic and Boolean operators, or a set of functions.","",""
"Card1","Card 1","",""
"Card2","Card 2","",""
"CaseIndependent","Case independent","",""
"Changed","Changed","",""
"ChartControls","Chart Controls","",""
"ConditionsDescription","Check if all conditions are verified","",""
"Commands","Commands","",""
"CompleteUniversalDateTimeUtc","Complete Universal date and time, UTC","",""
"ComponentName","Component name","",""
"AccordionDescription","Container that includes expandable content blocks.\nShow or collapse blocks of secondary content in a panel.\nTip: To add content to the Accordion object, insert objects to the Header and Content objects.","",""
"KeyValueDescription","Convert the value of the source to its corresponding parent value based on a table of key-value pairs. The key-value converter converts heterogeneous data, such as a color to value.","",""
"Copyright","Copyright ©2022 Rockwell Automation, Inc.","",""
"Counter","Counter","",""
"CreateNewAlarm","Create a new alarm","",""
"MovableObjectsDescription","Create objects that are moveable at Runtime. Create moveable objects through the Move target property for panels, rectangles, and images. Choose to either not allow the object to move, to the entire object, or to drag the header to move the object at Runtime.","",""
"CreateOpcMethodsDescription","Create OPC UA methods that can be called from any client.","",""
"CredentialsReminder","Credentials reminder","",""
"DataControl","Data Control","",""
"DataloggerReport","Datalogger Report","",""
"DateAndTimeFormats","Date and time formats","",""
"DateTimeLocalization","Date and Time localization","",""
"DateTime","DateTime","",""
"Description","Description","",""
"MachineTiMachineDescription","Develop a distributed application where you get all changes from the server to the client.","",""
"UserLoginDescription","Develop a login page that handles correct and incorrect login attempts.","",""
"UserEditorDescription","Develop a multilingual user management solution from scratch.\nTip: Instead of creating the user management interface from scratch, you can use the predefined widgets. For more information, from the toolbar, select  Template Libraries and search for User Editor.","",""
"DictionaryLocalization","Dictionary localization","",""
"WebBrowserDescription","Display an online web page or a local HTML file at runtime.","",""
"HistogramDescription","Display model or database data in a histogram.","",""
"PieChartDescription","Display model or database data in a pie chart.","",""
"PdfViewerDescription","Displays a PDF file at runtime. \nThe PDF viewer can display either local PDF file stored in the project directory and PDF file stored on a remote server (supported protocols: http, https).\nUse embedded PDFs to provide the end users with quick access to technical documentation.","",""
"SvgDescription","Displays an SVG Tiny 1.2 image and makes it possible to change the properties of individual parts of the image at design time or at runtime.","",""
"EditTranslation","Edit Translation","",""
"MatrixEditorDescription","Edit x and y data for the chart points","",""
"EnableAlarms","Enable Alarms","",""
"EnableButton","Enable button","",""
"EngineeringUnitLocalization","Engineering Unit localization","",""
"EventType","EventType","",""
"ExponentialNotation","Exponential notation","",""
"ExtendedDateTimeLocal","Extended date and time, local","",""
"ExtendedDateLocal","Extended date, local","",""
"ExtendedDateUtc","Extended date, UTC","",""
"ExtendedTimeLocal","Extended time, local","",""
"ExtendedDateTimeUtc","ExtendedDateAndTime, UTC","",""
"ExtendedTimeUtc","ExtendedTime,UTC","",""
"FanSpeed","Fan Speed","",""
"FillColor","Fill Color Property","",""
"QueryDescription","Filter data using an SQL query to display specific data from the database.","",""
"FixedPointNotation","Fixed-point notation","",""
"Generation","Generate","",""
"GenerateObjects","Generated objects","",""
"GeneratedWidgets","Generated widgets","",""
"HexadecimalNotation","Hexadecimal notation","",""
"IndexValue","Index Value","",""
"IndexedImagePath","Indexed image path","",""
"IndexedObjectColor","Indexed object color","",""
"IndexedRotationAnimationSpeed","Indexed rotation animation speed","",""
"IndexedTextAndFontSize","Indexed text and font size","",""
"InstancesCnt","Instances n.","",""
"KeyController","Key Controller","",""
"LanguageRetentivity","Language Retentivity","",""
"LoginDescription","Log in to the application with a provided user","",""
"LoggedUser","Logged user","",""
"MailEvent","Mail Event","",""
"ManAuto","Man/Auto","",""
"MatrixEditor","Matrix editor","",""
"MaximumBetweenValues","Maximum of two or more values","",""
"MethodName","Method name","",""
"MinValueDescription","Minimum value of two or more values","",""
"StringFormatterDescription","Modify the formatting of one or more values according to a customizable rule. You can use the string formatter to:\nAdd characters before or after a value, if the value of the source variable is numeric.\nFormat and parameterize SQL queries to use in database objects.\nLink multiple strings in a series.\nApply numeric formatting, such as decimal places or float rounding.","",""
"ModifyUserPermissions","Modify Users permissions","",""
"MotorSettings","Motor settings","",""
"MotorStarted","Motor started","",""
"MotorStopped","Motor stopped","",""
"MotorWithBehavior","Motor with behavior","",""
"MyMotorInstances","MyMotor Instances","",""
"Numeric","Numeric","",""
"NumericVariableFormats","Numeric variable formats","",""
"OctalNotation","Octal notation","",""
"OnVariableChange","On change variable","",""
"Open","OPEN","",""
"OPC/UA","OPC UA","",""
"Options","Options","",""
"ScaleLayoutDescription","Panel that automatically scales its children objects when the container aspect ratio changes.","",""
"Percentage","Percentage","",""
"VideoPlayerDescription","Plays a video at runtime.\nYou can interact with Play, Pause and Stop commands.","",""
"VariableRangeTransition","Range transition variable","",""
"RangeTransitioned","Range transitioned","",""
"RawValue","Raw Value","",""
"RecipeSchema","Recipe Schema","",""
"RecipeDescription","Recipes are based on ingredients defined in recipe schema objects.\n\nYou can use the recipe editor widget to manage recipes at runtime or to develop your own recipe management solution.","",""
